,text,target
0,text,
1,is upset that he can not update his facebook by texting it and might cry as result school today also blah,0.0
2,dived many times for the ball managed to save the rest go out of bounds,0.0
3,my whole body feels itchy and like its on fire,0.0
4,no it not behaving at all mad why am here because can not see you all over there,0.0
5,not the whole crew,0.0
6,need hug,0.0
7,hey long time no see yes rains bit only bit lol fine thanks how you,0.0
8,nope they did not have it,0.0
9,que me muera,0.0
10,spring break in plain city it snowing,0.0
11,just re pierced my ears,0.0
12,could not bear to watch it and thought the ua loss was embarrassing,0.0
13,it it counts idk why did either you never talk to me anymore,0.0
14,would ve been the first but did not have gun not really though zac snyder just doucheclown,0.0
15,wish got to watch it with you miss you and how was the premiere,0.0
16,hollis death scene will hurt me severely to watch on film wry is directors cut not out now,0.0
17,about to file taxes,0.0
18,ahh ive always wanted to see rent love the soundtrack,0.0
19,oh dear were you drinking out of the forgotten table drinks,0.0
20,was out most of the day so did not get much done,0.0
21,one of my friend called me and asked to meet with her at mid valley today but ve no time sigh,0.0
22,baked you cake but ated it,0.0
23,this week is not going as had hoped,0.0
24,blagh class at tomorrow,0.0
25,hate when have to call and wake people up,0.0
26,just going to cry myself to sleep after watching marley and me,0.0
27,im sad now miss lilly,0.0
28,ooooh lol that leslie and ok will not do it again so leslie will not get mad again,0.0
29,meh almost lover is the exception this track gets me depressed every time,0.0
30,some hacked my account on aim now have to make new one,0.0
31,want to go to promote gear and groove but unfornately no ride there may going to the one in anaheim in may though,0.0
32,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,0.0
33,awe love you too am here miss you,0.0
34,cry my asian eyes to sleep at night,0.0
35,ok sick and spent an hour sitting in the shower cause was too sick to stand and held back the puke like champ bed now,0.0
36,ill tell ya the story later not good day and ill be workin for like three more hours,0.0
37,sorry bed time came here gmt,0.0
38,do not either its depressing do not think even want to know about the kids in suitcases,0.0
39,bed class work gym or then class another day that gonna fly by miss my girlfriend,0.0
40,really do not feel like getting up today but got to study to for tomorrows practical exam,0.0
41,he the reason for the teardrops on my guitar the only one who has enough of me to break my heart,0.0
42,sad sad sad do not know why but hate this feeling wanna sleep and still can not,0.0
43,soo wish was there to see you finally comfortable im sad that missed it,0.0
44,falling asleep just heard about that tracy girl body being found how sad my heart breaks for that family,0.0
45,yay happy for you with your job but that also means less time for me and you,0.0
46,just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs bgs and uids,0.0
47,oh man was ironing fave top to wear to meeting burnt it,0.0
48,is strangely sad about lilo and samro breaking up,0.0
49,oh so sorry did not think about that before retweeting,0.0
50,broadband plan massive broken promise via still waiting for broadband we are,0.0
51,wow tons of replies from you may have to unfollow so can see my friends tweets you re scrolling the feed lot,0.0
52,our duck and chicken are taking wayyy too long to hatch,0.0
53,put vacation photos online few yrs ago pc crashed and now forget the name of the site,0.0
54,need hug,0.0
55,not sure what they are only that they are pos as much as want to dont think can trade away company assets sorry andy,0.0
56,hate when that happens,0.0
57,have sad feeling that dallas is not going to show up gotta say though you think more shows would use music from the game mmm,0.0
58,ugh degrees tomorrow,0.0
59,where did move to thought were already in sd hmmm random found me glad to hear yer doing well,0.0
60,miss my ps it out of commission wutcha playing have you copped blood on the sand,0.0
61,just leaving the parking lot of work,0.0
62,the life is cool but not for me,0.0
63,sadly though ve never gotten to experience the post coitus cigarette before and now never will,0.0
64,had such nice day too bad the rain comes in tomorrow at am,0.0
65,too bad will not be around lost my job and can not even pay my phone bill lmao aw shucks,0.0
66,damm back to school tomorrow,0.0
67,mo jobs no money how in the hell is min wage here clams an hour,0.0
68,not forever see you soon,0.0
69,agreed saw the failwhale allllll day today,0.0
